tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
68730150,68730151,100,69140ea45d9759e9368b409a72ac87327b857336,android,ok,1,plain,"",false,,,,,,,,,"",,
68730529,68730530,101,9ba5761d8c97f76f42f5a6ea55e8101121070080,android,ok,1,plain,"",false,,,,,,,,,"",,
68776835,68776836,102,31dc46f77e7df7c85eee7c79e54c678d9c3f4f61,android,ok,1,plain,"",false,,,,,,,,,"",,
68853103,68853104,103,b1a38fe7d51af0822a686fbdaa2de099581b98fb,android,ok,1,plain,"",false,,,,,,,,,"",,
68872850,68872852,104,c994c966b1406c36122b9f40f1857a1bb262709a,android,ok,1,plain,"",false,,,,,,,,,"",,
68877918,68877919,105,6bf001e205e2b63a5bbad2a1c83c3db7cd6313eb,android,ok,2,plain,"",false,,,,,,,,,"",,
68952805,68952807,106,0495527c23bf7349e65a5af8de7cb8dafa6df58c,android,ok,1,plain,"",false,,,,,,,,,"",,
69012506,69012507,107,17f388012e84a65813c03140d873bb326a127d89,android,ok,1,plain,"",false,,,,,,,,,"",,
69025880,69025881,108,b3858b8b29e8f2c7ded846f1e7622667c5259ad9,android,unknown,8,plain,"",false,,,,,,,,,"",,
69180818,69180819,109,43857d507999f0a8ef9d60962e0ffe463c4df4d5,android,ok,2,plain,"",false,,,,,,,,,"",,
5615021,5615022,10,15ac774d6d3335868e835018479d4eba9a508969,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
69180972,69180973,110,e4d6a075ff85ec1c7c71814fd682f7a22585379e,android,ok,1,plain,"",false,,,,,,,,,"",,
69359114,69359115,111,d17648add8a2034d8c3a5fd45cd8862b0688da1e,android,broken,1,plain,"",false,,,,,,,,,"",,
69638134,69638135,112,1f803e6d5f0cf84ecbd021886eec69aa11e4e603,android,ok,1,plain,"",false,,,,,,,,,"",,
69808755,69808756,113,bae458f8d6f8e441e006efb5b401808ec6ae928f,android,ok,1,plain,"",false,,,,,,,,,"",,
69971706,69971712,114,40b6dafb5cf397b0bb72529ad709e004cbc8bedb,android,ok,1,plain,"",false,,,,,,,,,"",,
70793617,70793618,115,3c550da7591bd329dce61258f60d5182358619f6,android,ok,1,plain,"",false,,,,,,,,,"",,
71834330,71834331,116,d6d9dd4365387816fda6987a4ad9b679c27e72a3,android,ok,2,plain,"",false,,,,,,,,,"",,
72142403,72142408,117,340ce89c688d632f0a460c2a43d8b6363a81c57c,android,ok,2,plain,"",false,,,,,,,,,"",,
72142537,72142545,118,340ce89c688d632f0a460c2a43d8b6363a81c57c,android,ok,2,plain,"",false,,,,,,,,,"",,
73419497,73419509,119,5b7b48127244962572722776bf600c418897d168,android,ok,1,plain,"",false,,,,,,,,,"",,
8516598,8516599,11,eaccd131a9481950e7e971b5d0de04c130f946b1,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
73628374,73628375,120,e40cebeede4f5c1e0b2be49301b35bd7480f33cc,android,ok,2,plain,"",false,,,,,,,,,"",,
74945331,74945332,121,7a27acf9950133a848fe1143eddd10b26dd8ac7a,android,ok,1,plain,"",false,,,,,,,,,"",,
74968486,74968487,122,0509837acbd9ebea99d46013f58ecefa820b1107,android,ok,1,plain,"",false,,,,,,,,,"",,
75120510,75120511,123,c716f6058d66f822fcd5ed482c96fb2e6d4a09ff,android,ok,1,plain,"",false,,,,,,,,,"",,
75336699,75336700,124,c38b72012bfeeaeaf015083c8b89644eabe5f30c,android,ok,1,plain,"",false,,,,,,,,,"",,
75342438,75342439,125,226c177c893e2e907b119c2af5e5bb06edeea2ac,android,broken,1,plain,"",false,,,,,,,,,"",,
75472940,75472941,126,049a00481a0ebed09f1aa3f485a23500bf56df9e,android,broken,1,plain,"",false,,,,,,,,,"",,
75476841,75476842,127,fb8aa4f9f1208f1d3cbdd181ff0d5e0d32ca6f3c,android,broken,1,plain,"",false,,,,,,,,,"",,
75483965,75483966,128,f7c78eb1ba3d4a56f5119686440da9427fe8fee7,android,broken,1,plain,"",false,,,,,,,,,"",,
75484994,75484995,129,ade1c9a5910ffbdf292e0fc251f5da7c2d0da633,android,unknown,2,plain,"",false,,,,,,,,,"",,
8792557,8792558,12,e6c2725a89d5acb0b288acd12db31913479a64c7,java,unknown,,java-gradle,"",false,,,0,,,,,,"",,
76183719,76183720,130,c40d4d738f9fad7c54145f36dabd6f4ec9ea94e7,android,broken,1,plain,"",false,,,,,,,,,"",,
76236470,76236471,131,b339becc04d64fcd4db095b6034e2c3bc4d53120,android,broken,1,plain,"",false,,,,,,,,,"",,
76252030,76252031,132,9491185403a8ad6e6d0a7c3f3d74b2f4e9ae0fab,android,broken,1,plain,"",false,,,,,,,,,"",,
76255873,76255874,133,c108c75a9c5d9c2320a578c643b0d7c76f34ac8f,android,broken,1,plain,"",false,,,,,,,,,"",,
76258057,76258058,134,aa9a931e04dec2063834a0fb4ffe2f5fb518b9a8,android,broken,1,plain,"",false,,,,,,,,,"",,
